"filename", "language", "JavaScript", "JSON", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"d:\Venda_Full\front-end\Venda-front2\vendamode\package-lock.json", "JSON", 0, 10, 0, 0, 0, 0, 10
"d:\Venda_Full\front-end\Venda-front2\vendamode\package.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\AmountAndCostTabsDashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 86, 0, 14, 100
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\ArticleReviewEditModal.tsx", "TypeScript JSX", 0, 0, 0, 138, 10, 17, 165
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\CategoryDetailModal.tsx", "TypeScript JSX", 0, 0, 0, 105, 7, 15, 127
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\ReviewArticleModal.tsx", "TypeScript JSX", 0, 0, 0, -5, 0, 0, -5
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\ReviewEditModal.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, -1, 18
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\SuggestionModal.tsx", "TypeScript JSX", 0, 0, 0, 166, 5, 11, 182
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\index.ts", "TypeScript", 0, 0, 3, 0, 0, -1, 2
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\review\ClientReviewCard.tsx", "TypeScript JSX", 0, 0, 0, 150, 8, 13, 171
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\review\ReviewArticleCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -1, -1
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\review\ReviewArticleList.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 8
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\review\ReviewCard.tsx", "TypeScript JSX", 0, 0, 0, -3, -10, -5, -18
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\review\ReviewProductCard.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 0, -1
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\review\index.ts", "TypeScript", 0, 0, 1, 0, 0, -1, 0
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\selectorCombobox\CategorySelectedCombobox.tsx", "TypeScript JSX", 0, 0, 0, 109, 0, 8, 117
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\selectorCombobox\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\shared\DashboardAdminAside.tsx", "TypeScript JSX", 0, 0, 0, -1, -14, 0, -15
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\pages\admin\ads\suggestion\index.tsx", "TypeScript JSX", 0, 0, 0, 377, 12, 21, 410
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\pages\admin\amount-and-cost\costs\index.tsx", "TypeScript JSX", 0, 0, 0, 107, 2, 13, 122
