"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "Markdown", "CSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\Venda_Full\front-end\Venda-front2\vendamode\.eslintrc.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Venda_Full\front-end\Venda-front2\vendamode\.prettierrc.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Venda_Full\front-end\Venda-front2\vendamode\README.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 16, 41
"d:\Venda_Full\front-end\Venda-front2\vendamode\custom.d.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Venda_Full\front-end\Venda-front2\vendamode\declarations.d.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Venda_Full\front-end\Venda-front2\vendamode\liara.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Venda_Full\front-end\Venda-front2\vendamode\next.config.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 3, 2, 32
"d:\Venda_Full\front-end\Venda-front2\vendamode\package-lock.json", "JSON", 0, 12276, 0, 0, 0, 0, 0, 0, 0, 1, 12277
"d:\Venda_Full\front-end\Venda-front2\vendamode\package.json", "JSON", 0, 85, 0, 0, 0, 0, 0, 0, 0, 1, 86
"d:\Venda_Full\front-end\Venda-front2\vendamode\postcss.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\assets\svgs\duotone\barcode.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\assets\svgs\duotone\bars.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\assets\svgs\duotone\calendar-days.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\assets\svgs\duotone\eye.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\assets\svgs\duotone\text.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\assets\svgs\duotone\trash.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\fonts\Nim\vfs_fonts.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\icons\error.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\icons\exclamation.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\icons\nothing.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\icons\question.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\icons\status-delivered.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 31, 0, 1, 32
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\icons\status-processing.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 36
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\icons\status-returned.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 1, 28
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\icons\success.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\images\icons\enter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\images\icons\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\images\icons\shopping-cart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\AmountAndCostTabsDashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 0, 14, 100
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\ClientLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\DashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 5, 77
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\DepartmentTabDashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 0, 14, 102
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\DesignTabDashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 7, 14, 102
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\OrderTabDashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 209, 0, 31, 38, 278
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\ProfileLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 29
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\ReviewTabDashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 0, 14, 100
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\SupportTabDashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 14, 101
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\TabDashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 7, 13, 112
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\UserTabDashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 3, 13, 107
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\index.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
